District,Metropolitan (Numbers),Metropolitan (No of Wards),Sub Metropolitan(Numbers),Sub Metropolitan(No of Wards),Municipality(Numbers),Municipality(No of Wards),Rural Municipality(Numbers),Rural Municipality(No of Wards),Total Units,Total No of Wards
Taplejung,0,0,0,0,1,11,8,50,9,61
Panchthar,0,0,0,0,1,14,7,46,8,60
Ilam,0,0,0,0,4,45,6,36,10,81
Jhapa,0,0,0,0,8,85,7,46,15,131
Morang,1,19,0,0,8,79,8,61,17,159
Sunsari,0,0,2,40,4,42,6,42,12,124
Dhankuta,0,0,0,0,3,29,4,31,7,60
Tehathum,0,0,0,0,2,19,4,24,6,43
Sankhuwasabha,0,0,0,0,5,49,5,27,10,76
Bhojpur,0,0,0,0,2,26,7,55,9,81
Solukhumbu,0,0,0,0,1,10,7,42,8,52
Okhaldhung,0,0,0,0,1,12,7,63,8,75
Khotang,0,0,0,0,2,26,8,53,10,79
Udayapur,0,0,0,0,4,49,4,26,8,75
Saptari,0,0,0,0,9,107,9,57,18,164
Siraha,0,0,0,0,8,118,9,46,17,164
Dhanusa,0,0,1,25,11,109,6,35,18,169
Mahottari,0,0,0,0,10,104,5,34,15,138
Sarlahi,0,0,0,0,11,136,9,64,20,200
Rautahat,0,0,0,0,16,147,2,10,18,157
Bara,0,0,2,51,5,55,9,61,16,167
Parsa,1,32,0,0,3,28,10,52,14,112
Sindhuli,0,0,0,0,2,28,7,51,9,79
Ramechap,0,0,0,0,2,23,6,41,8,64
Dolakha,0,0,0,0,2,18,7,56,9,74
Sindhupalchowk,0,0,0,0,3,36,9,67,12,103
Kavrepalanchowk,0,0,0,0,6,74,7,61,13,135
Lalitpur,1,29,0,0,2,24,3,18,6,71
Bhaktapur,0,0,0,0,4,38,0,0,4,38
Kathmandu,1,32,0,0,10,106,0,0,11,138
Rasuwa,0,0,0,0,0,0,5,27,5,27
Nuwakot,0,0,0,0,2,26,10,62,12,88
Dhading,0,0,0,0,2,23,11,81,13,104
Makawanpur,0,,1,19,1,12,8,71,10,102
Chitawan,1,29,0,0,5,62,1,7,7,98
Gorkha,0,0,0,0,2,24,9,70,11,94
Lamjung,0,0,0,0,4,42,4,33,8,75
Tanahu,0,0,0,0,4,48,6,37,10,85
Syanjha,0,0,0,0,5,58,6,39,11,97
Kaski,1,33,0,0,0,0,4,39,5,72
Manang,0,0,0,0,0,0,4,28,4,28
Mustang,0,0,0,0,0,0,5,25,5,25
Myagdhi,0,0,0,0,1,10,5,35,6,45
Parbat,0,0,0,0,2,25,5,36,7,61
Baglung,0,0,0,0,4,44,6,41,10,85
Nawalparasi Bardaghat Susta East,0,0,0,0,4,67,4,25,8,92
Gulmi,0,0,0,0,2,23,10,70,12,93
Palpa,0,0,0,0,2,24,8,57,10,81
Nawalparasi Bardadhghat Susta west,0,0,0,0,3,47,4,27,7,74
Rupandehi,0,0,1,19,5,66,10,70,16,155
Kapilbastu,0,0,0,0,6,67,4,29,10,96
Arghakhanchi,0,0,0,0,3,36,3,25,6,61
Pyuthan,0,0,0,0,2,19,7,45,9,64
Rolpa,0,0,0,0,1,10,9,62,10,72
Rukum East,0,0,0,0,0,0,3,31,3,31
Dang,0,0,2,38,1,9,7,53,10,100
Banke,0,0,1,23,1,15,6,43,8,81
Bardiya,0,0,0,0,6,60,2,15,8,75
Salyan,0,0,0,0,3,39,7,44,10,83
Rukum West,0,0,0,0,3,42,3,31,6,73
Surkhet,0,0,0,0,5,64,4,35,9,99
Dailekh,0,0,0,0,4,42,7,48,11,90
Jajarkot,0,0,0,0,3,39,4,38,7,77
Dolpa,0,0,0,0,2,22,6,43,8,65
Jumla,0,0,0,0,1,10,7,50,8,60
Kalikot,0,0,0,0,3,31,6,51,9,82
Mugu,0,0,0,0,1,14,3,31,4,45
Humla,0,0,0,0,0,0,7,44,7,44
Bajura,0,0,0,0,4,38,5,31,9,69
Bajhang,0,0,0,0,2,22,10,72,12,94
Achham,0,0,0,0,4,47,6,44,10,91
Doti,0,0,0,0,2,20,7,45,9,65
Kailali,0,0,1,19,6,63,6,44,13,126
Kanchanpur,0,0,0,0,7,81,2,11,9,92
Dadeldhura,0,0,0,0,2,23,5,29,7,52
Baitadi,0,0,0,0,4,40,6,44,10,84
Darchula,0,0,0,0,2,18,7,43,9,61
Total,6,174,11,234,276,"3,119",460,"3,216",753,"6,743"
