"Name
",year,parent_level,geo_level,parent_code,sex,population
Nepal,2016,-,country,-,female,13645463
Nepal,2016,-,country,-,male,12849041
Province No. 1,2016,country,province,NP,female,2368407
Province No. 1,2016,country,province,NP,male,2166536
Province No. 2,2016,country,province,NP,female,2686207
Province No. 2,2016,country,province,NP,male,2717938
Province No. 3,2016,country,province,NP,female,2781819
Province No. 3,2016,country,province,NP,male,2747633
Gandaki Province,2016,country,province,NP,female,1312949
Gandaki Province,2016,country,province,NP,male,1090808
Province No. 5,2016,country,province,NP,female,2358956
Province No. 5,2016,country,province,NP,male,2140316
Karnali Province,2016,country,province,NP,female,802495
Karnali Province,2016,country,province,NP,male,767923
Sudurpashchim Province,2016,country,province,NP,female,1334630
Sudurpashchim Province,2016,country,province,NP,male,1217887
Achham,2016,province,district,7,female,137469
Achham,2016,province,district,7,male,120008
Arghakhanchi,2016,province,district,5,female,111366
Arghakhanchi,2016,province,district,5,male,86266
Baglung,2016,province,district,4,female,150616
Baglung,2016,province,district,4,male,117997
Baitadi,2016,province,district,7,female,133491
Baitadi,2016,province,district,7,male,117407
Bajhang,2016,province,district,7,female,102365
Bajhang,2016,province,district,7,male,92794
Bajura,2016,province,district,7,female,69106
Bajura,2016,province,district,7,male,65806
Banke,2016,province,district,5,female,247058
Banke,2016,province,district,5,male,244255
Bara,2016,province,district,2,female,336464
Bara,2016,province,district,2,male,351244
Bardiya,2016,province,district,5,female,221496
Bardiya,2016,province,district,5,male,205080
Bhaktapur,2016,province,district,3,female,149767
Bhaktapur,2016,province,district,3,male,154884
Bhojpur,2016,province,district,1,female,96406
Bhojpur,2016,province,district,1,male,86053
Chitwan,2016,province,district,3,female,300897
Chitwan,2016,province,district,3,male,279087
Dadeldhura,2016,province,district,7,female,75538
Dadeldhura,2016,province,district,7,male,66556
Dailekh,2016,province,district,6,female,134780
Dailekh,2016,province,district,6,male,126990
Dang,2016,province,district,5,female,291524
Dang,2016,province,district,5,male,261059
Darchula,2016,province,district,7,female,69669
Darchula,2016,province,district,7,male,63605
Dhading,2016,province,district,3,female,178233
Dhading,2016,province,district,3,male,157834
Dhankuta,2016,province,district,1,female,86897
Dhankuta,2016,province,district,1,male,76515
Dhanusa,2016,province,district,2,female,376239
Dhanusa,2016,province,district,2,male,378538
Dolakha,2016,province,district,3,female,99554
Dolakha,2016,province,district,3,male,87003
Dolpa,2016,province,district,6,female,18462
Dolpa,2016,province,district,6,male,18238
Doti,2016,province,district,7,female,114494
Doti,2016,province,district,7,male,97252
Gorkha,2016,province,district,4,female,150020
Gorkha,2016,province,district,4,male,121041
Gulmi,2016,province,district,5,female,159165
Gulmi,2016,province,district,5,male,120995
Humla,2016,province,district,6,female,25025
Humla,2016,province,district,6,male,25833
Ilam,2016,province,district,1,female,149128
Ilam,2016,province,district,1,male,141126
Jajarkot,2016,province,district,6,female,85767
Jajarkot,2016,province,district,6,male,85537
Jhapa,2016,province,district,1,female,427554
Jhapa,2016,province,district,1,male,385096
Jumla,2016,province,district,6,female,54023
Jumla,2016,province,district,6,male,54898
Kailali,2016,province,district,7,female,397292
Kailali,2016,province,district,7,male,378417
Kalikot,2016,province,district,6,female,68115
Kalikot,2016,province,district,6,male,68833
Kanchanpur,2016,province,district,7,female,235206
Kanchanpur,2016,province,district,7,male,216042
Kapilbastu,2016,province,district,5,female,286337
Kapilbastu,2016,province,district,5,male,285599
Kaski,2016,province,district,4,female,255713
Kaski,2016,province,district,4,male,236385
Kathmandu,2016,province,district,3,female,831239
Kathmandu,2016,province,district,3,male,913001
Kavrepalanchowk,2016,province,district,3,female,199001
Kavrepalanchowk,2016,province,district,3,male,182936
Khotang,2016,province,district,1,female,109220
Khotang,2016,province,district,1,male,97092
Lalitpur,2016,province,district,3,female,230050
Lalitpur,2016,province,district,3,male,238082
Lamjung,2016,province,district,4,female,91811
Lamjung,2016,province,district,4,male,75913
Mahottari,2016,province,district,2,female,316564
Mahottari,2016,province,district,2,male,311016
Makwanpur,2016,province,district,3,female,213793
Makwanpur,2016,province,district,3,male,206684
Manang,2016,province,district,4,female,2877
Manang,2016,province,district,4,male,3661
Morang,2016,province,district,1,female,498658
Morang,2016,province,district,1,male,466712
Mugu,2016,province,district,6,female,27261
Mugu,2016,province,district,6,male,28025
Mustang,2016,province,district,4,female,6359
Mustang,2016,province,district,4,male,7093
Myagdi,2016,province,district,4,female,62246
Myagdi,2016,province,district,4,male,51395
Nawalparasi East,2016,province,district,4,female,168825
Nawalparasi East,2016,province,district,4,male,142779
Nawalparasi West,2016,province,district,5,female,171008
Nawalparasi West,2016,province,district,5,male,160896
Nuwakot,2016,province,district,3,female,144684
Nuwakot,2016,province,district,3,male,132787
Okhaldhunga,2016,province,district,1,female,79297
